method,ratio,seed,objectif,thresh_hist,thresh_mean,thresh_prop,opt_precision,opt_recall,opt_specificity,opt_f1,full_accuracy,full_precision,full_recall,full_specificity,full_f1,full_balanced_acc,full_cost
baseline,,,f1,0.0548,6.9286,6.6433,0.9517,0.9268,0.1957,0.9391,0.8864,0.9517,0.9268,0.1957,0.9391,0.5612,284.0
undersample,0.5,1,f1,0.0521,7.5119,6.4226,0.5359,0.9203,0.2029,0.6773,0.8788,0.9517,0.9183,0.2029,0.9347,0.5606,303.0
undersample,0.5,2,f1,0.045,7.1369,6.4048,0.5316,0.913,0.1957,0.672,0.8864,0.9517,0.9268,0.1957,0.9391,0.5612,284.0
undersample,0.5,3,f1,0.0446,6.9821,6.4048,0.5375,0.9348,0.1957,0.6825,0.89,0.9519,0.9306,0.1957,0.9411,0.5631,275.0
undersample,0.5,4,f1,0.0418,6.9821,6.4048,0.5375,0.9348,0.1957,0.6825,0.8908,0.952,0.9314,0.1957,0.9416,0.5635,273.0
undersample,0.5,5,f1,0.0853,7.3333,6.4821,0.5261,0.8768,0.2101,0.6576,0.876,0.952,0.9149,0.2101,0.9331,0.5625,310.0
undersample,0.6,1,f1,0.0956,7.1467,6.4524,0.6333,0.9179,0.2029,0.7495,0.8812,0.9519,0.9208,0.2029,0.9361,0.5619,297.0
undersample,0.6,2,f1,0.0544,6.8819,19.7943,0.684,0.8261,0.4275,0.7484,0.7268,0.957,0.7443,0.4275,0.8373,0.5859,683.0
undersample,0.6,3,f1,0.0569,7.2619,6.5562,0.6373,0.942,0.1957,0.7602,0.8828,0.9515,0.9229,0.1957,0.937,0.5593,293.0
undersample,0.6,4,f1,0.0461,6.8505,6.4343,0.6325,0.9227,0.1957,0.7505,0.8892,0.9519,0.9297,0.1957,0.9407,0.5627,277.0
undersample,0.6,5,f1,0.0655,7.5,6.7048,0.6224,0.8599,0.2174,0.7221,0.8744,0.9523,0.9128,0.2174,0.9321,0.5651,314.0
undersample,0.7,1,f1,0.0428,6.9481,6.4102,0.7259,0.913,0.1957,0.8088,0.89,0.9519,0.9306,0.1957,0.9411,0.5631,275.0
undersample,0.7,2,f1,0.0599,7.5769,6.7002,0.7353,0.9317,0.2174,0.8219,0.8752,0.9523,0.9136,0.2174,0.9326,0.5655,312.0
undersample,0.7,3,f1,0.0527,7.205,6.6343,0.7319,0.941,0.1957,0.8234,0.8836,0.9516,0.9238,0.1957,0.9375,0.5597,291.0
undersample,0.7,4,f1,0.0594,6.986,6.7576,0.7295,0.913,0.2101,0.811,0.8836,0.9524,0.9229,0.2101,0.9374,0.5665,291.0
undersample,0.7,5,f1,0.049,6.986,6.7338,0.7297,0.9224,0.2029,0.8148,0.8852,0.9521,0.9251,0.2029,0.9384,0.564,287.0
undersample,0.8,1,f1,0.0425,6.9312,6.4788,0.8215,0.9257,0.1957,0.8705,0.89,0.9519,0.9306,0.1957,0.9411,0.5631,275.0
undersample,0.8,2,f1,0.1042,6.9788,6.5079,0.8237,0.9312,0.2029,0.8741,0.8852,0.9521,0.9251,0.2029,0.9384,0.564,287.0
undersample,0.8,3,f1,0.0484,6.9788,6.4762,0.823,0.9348,0.1957,0.8753,0.8876,0.9518,0.928,0.1957,0.9398,0.5618,281.0
undersample,0.8,4,f1,0.0559,7.3333,6.6905,0.821,0.9058,0.2101,0.8613,0.8752,0.9519,0.9141,0.2101,0.9326,0.5621,312.0
undersample,0.8,5,f1,0.0427,6.9788,6.4762,0.8218,0.9275,0.1957,0.8715,0.89,0.9519,0.9306,0.1957,0.9411,0.5631,275.0
undersample,0.9,1,f1,0.0579,7.0,6.7143,0.9133,0.9243,0.2101,0.9188,0.8804,0.9522,0.9196,0.2101,0.9356,0.5649,299.0
undersample,0.9,2,f1,0.0526,6.891,6.6002,0.9123,0.93,0.1957,0.9211,0.8872,0.9518,0.9276,0.1957,0.9395,0.5616,282.0
undersample,0.9,3,f1,0.0494,6.901,6.5952,0.9118,0.9243,0.1957,0.918,0.8876,0.9518,0.928,0.1957,0.9398,0.5618,281.0
undersample,0.9,4,f1,0.0545,6.9336,6.6955,0.9119,0.9171,0.2029,0.9145,0.8844,0.952,0.9242,0.2029,0.9379,0.5636,289.0
undersample,0.9,5,f1,0.0525,6.9286,6.5714,0.9122,0.9283,0.1957,0.9202,0.8872,0.9518,0.9276,0.1957,0.9395,0.5616,282.0
weight,0.5,,f1,0.1096,6.9286,6.6433,0.5372,0.9251,0.2029,0.6797,0.8852,0.9521,0.9251,0.2029,0.9384,0.564,287.0
weight,0.6,,f1,0.1096,6.9286,6.6433,0.6351,0.9251,0.2029,0.7532,0.8852,0.9521,0.9251,0.2029,0.9384,0.564,287.0
weight,0.7,,f1,0.1096,6.9286,6.6433,0.7303,0.9251,0.2029,0.8162,0.8852,0.9521,0.9251,0.2029,0.9384,0.564,287.0
weight,0.8,,f1,0.0548,6.9286,6.6433,0.8217,0.9268,0.1957,0.8711,0.8864,0.9517,0.9268,0.1957,0.9391,0.5612,284.0
weight,0.9,,f1,0.0548,6.9286,6.6433,0.912,0.9268,0.1957,0.9193,0.8864,0.9517,0.9268,0.1957,0.9391,0.5612,284.0
baseline,,,balanced_acc,0.1096,6.9286,19.93,0.9588,0.7091,0.4783,0.8153,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
undersample,0.5,1,balanced_acc,0.0521,7.5119,19.2679,0.582,0.7971,0.4275,0.6728,0.7368,0.9576,0.7549,0.4275,0.8442,0.5912,658.0
undersample,0.5,2,balanced_acc,0.135,7.1369,19.2143,0.5714,0.6957,0.4783,0.6275,0.7076,0.9594,0.721,0.4783,0.8233,0.5996,731.0
undersample,0.5,3,balanced_acc,0.0891,6.9821,19.2143,0.5747,0.7246,0.4638,0.641,0.7112,0.9586,0.7257,0.4638,0.826,0.5947,722.0
undersample,0.5,4,balanced_acc,0.1254,6.9821,19.2143,0.5909,0.7536,0.4783,0.6624,0.7096,0.9596,0.7231,0.4783,0.8247,0.6007,726.0
undersample,0.5,5,balanced_acc,0.0853,7.3333,19.4464,0.5723,0.7174,0.4638,0.6367,0.7004,0.958,0.7142,0.4638,0.8183,0.589,749.0
undersample,0.6,1,balanced_acc,0.0956,7.1467,19.3571,0.6636,0.686,0.4783,0.6746,0.702,0.9591,0.7151,0.4783,0.8193,0.5967,745.0
undersample,0.6,2,balanced_acc,0.1088,6.8819,19.7943,0.691,0.7778,0.4783,0.7318,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
undersample,0.6,3,balanced_acc,0.1138,7.2619,19.6686,0.6571,0.6667,0.4783,0.6619,0.6948,0.9587,0.7075,0.4783,0.8141,0.5929,763.0
undersample,0.6,4,balanced_acc,0.0461,6.8505,19.3029,0.6481,0.7295,0.4058,0.6864,0.7536,0.9571,0.7739,0.4058,0.8558,0.5899,616.0
undersample,0.6,5,balanced_acc,0.131,7.5,20.1143,0.6502,0.6377,0.4855,0.6439,0.686,0.9587,0.6977,0.4855,0.8076,0.5916,785.0
undersample,0.7,1,balanced_acc,0.1284,6.9481,19.2307,0.7559,0.6925,0.4783,0.7229,0.7096,0.9596,0.7231,0.4783,0.8247,0.6007,726.0
undersample,0.7,2,balanced_acc,0.1198,7.5769,20.1007,0.7649,0.7174,0.4855,0.7404,0.686,0.9587,0.6977,0.4855,0.8076,0.5916,785.0
undersample,0.7,3,balanced_acc,0.1053,7.205,19.9029,0.7632,0.7205,0.4783,0.7412,0.6956,0.9587,0.7083,0.4783,0.8147,0.5933,761.0
undersample,0.7,4,balanced_acc,0.1187,6.986,20.2729,0.7633,0.7112,0.4855,0.7363,0.6888,0.9589,0.7007,0.4855,0.8097,0.5931,778.0
undersample,0.7,5,balanced_acc,0.098,6.986,20.2014,0.7577,0.6894,0.4855,0.722,0.6908,0.959,0.7028,0.4855,0.8111,0.5942,773.0
undersample,0.8,1,balanced_acc,0.1276,6.9312,19.4364,0.8458,0.7156,0.4783,0.7753,0.7012,0.9591,0.7142,0.4783,0.8187,0.5962,747.0
undersample,0.8,2,balanced_acc,0.1042,6.9788,19.5236,0.8475,0.7246,0.4783,0.7812,0.7024,0.9591,0.7155,0.4783,0.8196,0.5969,744.0
undersample,0.8,3,balanced_acc,0.0968,6.9788,19.4286,0.8462,0.7174,0.4783,0.7765,0.7032,0.9592,0.7163,0.4783,0.8202,0.5973,742.0
undersample,0.8,4,balanced_acc,0.1118,7.3333,20.0714,0.8433,0.692,0.4855,0.7602,0.6864,0.9587,0.6981,0.4855,0.8079,0.5918,784.0
undersample,0.8,5,balanced_acc,0.1282,6.9788,19.4286,0.8431,0.7011,0.4783,0.7656,0.7012,0.9591,0.7142,0.4783,0.8187,0.5962,747.0
undersample,0.9,1,balanced_acc,0.1157,7.0,20.1429,0.9241,0.6965,0.4855,0.7943,0.6884,0.9588,0.7003,0.4855,0.8094,0.5929,779.0
undersample,0.9,2,balanced_acc,0.1052,6.891,19.8007,0.9241,0.7053,0.4783,0.8,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
undersample,0.9,3,balanced_acc,0.0989,6.901,19.7857,0.9248,0.7126,0.4783,0.8049,0.6972,0.9588,0.71,0.4783,0.8159,0.5941,757.0
undersample,0.9,4,balanced_acc,0.109,6.9336,20.0864,0.9246,0.7013,0.4855,0.7976,0.69,0.9589,0.7019,0.4855,0.8106,0.5937,775.0
undersample,0.9,5,balanced_acc,0.1049,6.9286,19.7143,0.9249,0.7142,0.4783,0.806,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
weight,0.5,,balanced_acc,0.1096,6.9286,19.93,0.5761,0.7091,0.4783,0.6358,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
weight,0.6,,balanced_acc,0.1096,6.9286,19.93,0.6709,0.7091,0.4783,0.6895,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
weight,0.7,,balanced_acc,0.1096,6.9286,19.93,0.7603,0.7091,0.4783,0.7338,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
weight,0.8,,balanced_acc,0.1096,6.9286,19.93,0.8446,0.7091,0.4783,0.771,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
weight,0.9,,balanced_acc,0.1096,6.9286,19.93,0.9244,0.7091,0.4783,0.8026,0.6964,0.9588,0.7091,0.4783,0.8153,0.5937,759.0
