image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
1,JPEG,512,384,589824,42647,13.830374938448191,92.76953803168404,1.7353108723958333,0.005072244000075443,0.0017050380001819576,0.006777282000257401,215592,4556,32.52880044646816,0.9209562432248571,False
1,Huffman,512,384,589824,530044,1.1127830897057602,10.135226779513884,21.567545572916668,0.042415500000061,0.10924232000024858,0.15165782000030958,240880,0,inf,1.0,True
1,LZW,512,384,589824,479020,1.231313932612417,18.78594292534722,19.491373697916668,0.006267649000164965,0.0026150049998250324,0.008882653999989998,240880,0,inf,1.0,True
1,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11362898400011545,0.8277868280001712,0.9414158120002867,251268,10388,36.640054744222,0.9923322547467869,False
1,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12449165200041534,0.761046635999719,0.8855382880001343,251268,0,32.52209714529519,0.9054581012664666,False
10,JPEG,512,384,589824,60493,9.75028515696031,89.74388970269096,2.4614664713541665,0.001070814000286191,0.0015230789999804983,0.0025938930002666893,251268,0,30.609763478542718,0.9202942979661772,False
10,Huffman,512,384,589824,556998,1.0589337843223854,5.5653889973958375,22.664306640625,0.04106177099993147,0.11339438699997118,0.15445615799990264,251268,0,inf,1.0,True
10,LZW,512,384,589824,553437,1.0657473208332655,6.16912841796875,22.5194091796875,0.006856058999801462,0.002716645999953471,0.009572704999754933,251268,0,inf,1.0,True
10,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10891010399973311,1.068678498999816,1.177588602999549,251268,0,34.429996824655696,0.9913443428621852,False
10,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11782438699992781,1.2694841900001848,1.3873085770001126,254828,3560,30.654478550939565,0.9346147023782154,False
100,JPEG,384,512,589824,60680,9.720237310481213,89.71218532986111,2.4690755208333335,0.0010477700002411439,0.0012684859998444153,0.002316256000085559,254828,0,29.97084890020742,0.8974128081851426,False
100,Huffman,384,512,589824,578992,1.0187083759361097,1.836480034722221,23.559244791666668,0.0403161940002974,0.1188276110001425,0.1591438050004399,254828,0,inf,1.0,True
100,LZW,384,512,589824,591111,0.9978227439516436,-0.21820068359375,24.0523681640625,0.006031790000179171,0.0027778179996857943,0.008809607999864966,254828,0,inf,1.0,True
100,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10855452300029356,1.5791810769997028,1.6877355999999963,254828,0,33.12563469650259,0.9742687740680429,False
100,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.1171032339998419,1.7230218109998532,1.840125044999695,254976,148,30.27340605668435,0.9282741106106914,False
