timestamp,node_id,image_id,algorithm,profile,psnr_db,ssim,mask_iou,mask_dice,mask_ref_source,cpu_time_ms,memory_kb,compressed_bytes,compression_ratio
2026-09-04T01:20:14.757713,pi-test-01,img_6000,JPEG,-,37.952,0.9401,,,n/a,137.609,512.0,36609.0,25.17
2026-09-04T01:20:14.757713,pi-test-01,img_6000,JPEG2000-ROI,-,36.191,0.9102,0.295,0.4556,sam_uploaded,1070.848,9568.0,160453.0,5.74
2026-09-04T01:20:17.998974,pi-test-01,img_6001,JPEG,-,38.613,0.9389,,,n/a,158.439,512.0,31070.0,29.66
2026-09-04T01:20:17.998974,pi-test-01,img_6001,JPEG2000-ROI,-,37.667,0.9231,0.4311,0.6025,sam_uploaded,1044.146,9572.0,160384.0,5.75
2026-09-04T01:20:21.107878,pi-test-01,img_6002,JPEG,-,38.612,0.9389,,,n/a,142.045,512.0,31056.0,29.68
2026-09-04T01:20:21.107878,pi-test-01,img_6002,JPEG2000-ROI,-,37.676,0.923,0.4063,0.5778,sam_uploaded,1062.511,9568.0,160500.0,5.74
2026-09-04T01:20:24.226665,pi-test-01,img_6003,JPEG,-,38.612,0.9389,,,n/a,142.462,512.0,31032.0,29.7
2026-09-04T01:20:24.226665,pi-test-01,img_6003,JPEG2000-ROI,-,37.687,0.923,0.4809,0.6495,sam_uploaded,1041.737,9568.0,160387.0,5.75
2026-09-04T01:20:27.420468,pi-test-01,img_6004,JPEG,-,38.613,0.9389,,,n/a,141.905,512.0,31052.0,29.68
2026-09-04T01:20:27.420468,pi-test-01,img_6004,JPEG2000-ROI,-,37.638,0.9228,0.4245,0.596,sam_uploaded,1050.879,9568.0,160555.0,5.74
2026-09-04T01:20:30.564533,pi-test-01,img_6005,JPEG,-,39.334,0.9393,,,n/a,138.203,512.0,23765.0,38.78
2026-09-04T01:20:30.564533,pi-test-01,img_6005,JPEG2000-ROI,-,40.182,0.9527,0.3001,0.4617,sam_uploaded,1052.176,9568.0,160473.0,5.74
2026-09-04T01:20:34.038385,pi-test-01,img_6006,JPEG,-,39.335,0.9392,,,n/a,138.438,512.0,23788.0,38.74
2026-09-04T01:20:34.038385,pi-test-01,img_6006,JPEG2000-ROI,-,40.225,0.9531,0.3056,0.4682,sam_uploaded,1048.082,9572.0,160496.0,5.74
2026-09-04T01:20:37.482268,pi-test-01,img_6007,JPEG,-,39.335,0.9392,,,n/a,139.904,512.0,23791.0,38.74
2026-09-04T01:20:37.482268,pi-test-01,img_6007,JPEG2000-ROI,-,40.239,0.9531,0.3077,0.4706,sam_uploaded,1065.57,9568.0,160487.0,5.74
2026-09-04T01:20:40.608234,pi-test-01,img_6008,JPEG,-,39.334,0.9393,,,n/a,138.493,512.0,23781.0,38.75
2026-09-04T01:20:40.608234,pi-test-01,img_6008,JPEG2000-ROI,-,40.146,0.9524,0.3006,0.4622,sam_uploaded,1057.732,9572.0,160309.0,5.75
2026-09-04T01:20:43.907985,pi-test-01,img_6009,JPEG,-,36.829,0.9397,,,n/a,145.067,512.0,42500.0,21.68
2026-09-04T01:20:43.907985,pi-test-01,img_6009,JPEG2000-ROI,-,34.615,0.8992,0.4021,0.5736,sam_uploaded,1100.723,9568.0,160371.0,5.75
2026-09-04T01:20:47.425958,pi-test-01,img_6010,JPEG,-,36.828,0.9397,,,n/a,145.406,512.0,42498.0,21.69
2026-09-04T01:20:47.425958,pi-test-01,img_6010,JPEG2000-ROI,-,34.658,0.9001,0.4106,0.5822,sam_uploaded,1117.745,9572.0,160372.0,5.75
2026-09-04T01:20:50.844719,pi-test-01,img_6011,JPEG,-,36.828,0.9397,,,n/a,144.708,512.0,42542.0,21.66
2026-09-04T01:20:50.844719,pi-test-01,img_6011,JPEG2000-ROI,-,34.645,0.8998,0.4078,0.5793,sam_uploaded,1109.355,9568.0,160326.0,5.75
2026-09-04T01:20:54.067780,pi-test-01,img_6012,JPEG,-,36.829,0.9397,,,n/a,145.864,512.0,42537.0,21.67
2026-09-04T01:20:54.067780,pi-test-01,img_6012,JPEG2000-ROI,-,34.598,0.8997,0.4045,0.576,sam_uploaded,1100.217,9568.0,160411.0,5.75
2026-09-04T01:20:57.398086,pi-test-01,img_6013,JPEG,-,35.669,0.9518,,,n/a,149.837,512.0,55463.0,16.62
2026-09-04T01:20:57.398086,pi-test-01,img_6013,JPEG2000-ROI,-,30.999,0.861,0.4697,0.6392,sam_uploaded,1163.24,9728.0,160448.0,5.74
2026-09-04T01:21:00.868279,pi-test-01,img_6014,JPEG,-,35.667,0.9518,,,n/a,148.604,512.0,55484.0,16.61
2026-09-04T01:21:00.868279,pi-test-01,img_6014,JPEG2000-ROI,-,31.07,0.8628,0.4838,0.6521,sam_uploaded,1138.402,9724.0,160352.0,5.75
2026-09-04T01:21:04.447413,pi-test-01,img_6015,JPEG,-,35.667,0.9518,,,n/a,148.065,512.0,55541.0,16.59
2026-09-04T01:21:04.447413,pi-test-01,img_6015,JPEG2000-ROI,-,30.985,0.8615,0.4842,0.6524,sam_uploaded,1132.287,9568.0,160117.0,5.76
2026-09-04T01:21:07.755079,pi-test-01,img_6016,JPEG,-,35.669,0.9518,,,n/a,149.888,512.0,55540.0,16.59
2026-09-04T01:21:07.755079,pi-test-01,img_6016,JPEG2000-ROI,-,31.027,0.8611,0.5069,0.6728,sam_uploaded,1156.868,9724.0,160368.0,5.75
2026-09-04T01:21:11.105024,pi-test-01,img_6017,JPEG,-,35.441,0.9406,,,n/a,149.9,512.0,51113.0,18.03
2026-09-04T01:21:11.105024,pi-test-01,img_6017,JPEG2000-ROI,-,32.283,0.8546,0.3262,0.4919,sam_uploaded,1124.436,9572.0,160462.0,5.74
2026-09-04T01:21:14.467212,pi-test-01,img_6018,JPEG,-,35.445,0.9406,,,n/a,148.15,512.0,51136.0,18.02
2026-09-04T01:21:14.467212,pi-test-01,img_6018,JPEG2000-ROI,-,32.232,0.8556,0.3375,0.5047,sam_uploaded,1117.295,9724.0,160428.0,5.74
2026-09-04T01:21:17.849454,pi-test-01,img_6019,JPEG,-,35.445,0.9406,,,n/a,149.558,512.0,51174.0,18.01
2026-09-04T01:21:17.849454,pi-test-01,img_6019,JPEG2000-ROI,-,32.21,0.854,0.3257,0.4914,sam_uploaded,1136.326,9632.0,160568.0,5.74
2026-09-04T01:21:21.144816,pi-test-01,img_6020,JPEG,-,35.441,0.9406,,,n/a,148.093,512.0,51140.0,18.02
2026-09-04T01:21:21.144816,pi-test-01,img_6020,JPEG2000-ROI,-,32.319,0.855,0.3395,0.5069,sam_uploaded,1110.805,9568.0,160200.0,5.75
2026-09-04T01:21:24.512773,pi-test-01,img_6021,JPEG,-,37.856,0.9503,,,n/a,170.102,512.0,40350.0,22.84
2026-09-04T01:21:24.512773,pi-test-01,img_6021,JPEG2000-ROI,-,37.312,0.9501,0.2898,0.4494,sam_uploaded,1114.694,9568.0,160195.0,5.75
2026-09-04T01:21:27.731040,pi-test-01,img_6022,JPEG,-,37.856,0.9503,,,n/a,144.826,512.0,40350.0,22.84
2026-09-04T01:21:27.731040,pi-test-01,img_6022,JPEG2000-ROI,-,37.173,0.9499,0.2915,0.4514,sam_uploaded,1137.946,9568.0,160554.0,5.74
2026-09-04T01:21:30.931446,pi-test-01,img_6023,JPEG,-,37.856,0.9503,,,n/a,147.016,512.0,40456.0,22.78
2026-09-04T01:21:30.931446,pi-test-01,img_6023,JPEG2000-ROI,-,37.3,0.95,0.2829,0.441,sam_uploaded,1113.463,9568.0,160503.0,5.74
2026-09-04T01:21:34.253212,pi-test-01,img_6024,JPEG,-,37.856,0.9503,,,n/a,145.447,512.0,40438.0,22.79
