algorithm,psnr,ssim,edge_preservation,iou,dice_coefficient,precision,recall,compression_ratio,execution_time,cpu_usage,memory_usage_mb,performance_score
K-Means,24.77508345113655,0.6923557995251738,0.0,0.4942103323299957,0.6615003545844168,0.9909163690109619,0.4964594807238395,0.0,0.737206220626831,89.5,2.84765625,67.61439072291056
Otsu,11.946950437502302,0.4236847938451654,0.10500774393391843,0.5719306322897483,0.7276792252042918,0.9909854810402595,0.5749217074713442,0.0,0.03214669227600098,62.2,0.1640625,79.15404227574668
Adaptive Thresholding,12.17818397077096,0.18053675612554268,0.052898457307378285,0.6584826229911195,0.7940784110279404,0.9938547874684043,0.6611746193363262,0.0,0.0066111087799072266,0.0,0.2421875,99.96989005406698
Region Growing,12.36491912168944,0.4151327031340381,0.06891043924700513,0.7286718222549561,0.8430424015409059,0.9926630434782608,0.73261751592848,0.0,0.1675260066986084,101.5,1.59375,66.05512164433797
Split and Merge,11.946950437502302,0.4236847938451654,0.10500774393391843,0.5719306322897483,0.7276792252042918,0.9909854810402595,0.5749217074713442,0.0,0.0025148391723632812,0.0,0.0,99.99161720275879
MobileNet-Seg,7.186583864098202,0.06527056802226343,0.21797520661157024,0.07319481080414025,0.13640545046857933,0.9987371079772679,0.07320158590580213,0.0,7.8733415603637695,70.1,234.1328125,42.58443438212077
K-Means,21.873666552400838,0.6916732297048928,0.2985903814262023,0.18404648299215023,0.3108771245653375,0.351252111331424,0.2788270957211146,0.0,0.3631412982940674,96.4,0.0,66.6561956723531
Otsu,10.558421842127895,0.4872992780041881,0.22707100591715976,0.6156581329195759,0.7621143611700212,0.7025451862781261,0.8327212311997202,0.0,0.0017163753509521484,0.0,0.00390625,99.99414854049682
Adaptive Thresholding,8.847294948279028,0.25476624931982284,0.21314764546205595,0.43323253529536393,0.604553029081331,0.5608667464592061,0.6556196805409817,0.0,0.0016422271728515625,0.0,0.0,99.99452590942383
Region Growing,3.757483390803168,0.0001229164649024331,0.0011557724412482341,0.0,0.0,0.0,0.0,0.0,0.0022783279418945312,0.0,0.0,99.99240557352702
Split and Merge,10.558421842127895,0.4872992780041881,0.22707100591715976,0.6156581329195759,0.7621143611700212,0.7025451862781261,0.8327212311997202,0.0,0.01695990562438965,58.9,0.0,80.3101336479187
MobileNet-Seg,3.8189405756091794,0.010553240552082949,0.02262386248736097,0.0,0.0,0.0,0.0,0.0,0.31673312187194824,97.9,20.80078125,65.61753021876017
K-Means,20.301962895216036,0.7204642429948279,0.3521042628292153,0.1490459224934974,0.2594255278676051,0.2573596014492754,0.2615248906957122,0.0,0.4879155158996582,100.4,0.0,65.0402816136678
Otsu,19.525050940846448,0.7820926934290066,0.6000444395067215,0.3672921759267768,0.5372548492465689,0.4135847182267845,0.7664339955511237,0.0,0.0020570755004882812,0.0,0.0,99.99314308166504
Adaptive Thresholding,10.938969110054861,0.4862641881507855,0.3831404320987654,0.3110895106077255,0.4745511394771621,0.40926275992438566,0.5646237631356907,0.0,0.0022940635681152344,0.0,0.0,99.99235312143962
Region Growing,5.770116176031459,0.0028381789838027587,0.0003458771444382955,0.0,0.0,0.0,0.0,0.0,0.003400564193725586,0.0,0.0,99.98866478602092
Split and Merge,19.525050940846448,0.7820926934290066,0.6000444395067215,0.3672921759267768,0.5372548492465689,0.4135847182267845,0.7664339955511237,0.0,0.04277920722961426,93.5,0.0,68.69073597590129
MobileNet-Seg,5.962207871186286,0.025845358298198073,0.034308365226899944,0.08659967783999387,0.1593957362699421,1.0,0.08659967783999387,0.0,0.343153715133667,96.2,0.046875,66.7879251162211
K-Means,21.67689447547201,0.8106824455839473,0.412543109911531,0.31433815946871263,0.47832159053462425,0.5535941302531692,0.42106862636755443,0.0,0.2868318557739258,101.1,0.0,65.71056048075359
Otsu,17.695979213609426,0.731351764446234,0.5852710252151593,0.4532652316672747,0.6237887232012853,0.5715863084284137,0.6864846944413747,0.0,0.0017278194427490234,0.0,0.0,99.9942406018575
Adaptive Thresholding,11.529551350775005,0.5963043169183867,0.48975053853102635,0.3636740413270442,0.5333738566631933,0.5600911854103343,0.5090894021438833,0.0,0.0017108917236328125,0.0,0.0,99.99429702758789
Region Growing,6.188894206039741,0.0012744155156206069,0.00023988869164707574,0.0,0.0,0.0,0.0,0.0,0.001971721649169922,504.7,0.0,66.66009426116943
Split and Merge,17.695979213609426,0.731351764446234,0.5852710252151593,0.4532652316672747,0.6237887232012853,0.5715863084284137,0.6864846944413747,0.0,0.03403306007385254,88.1,0.0,70.51988979975383
MobileNet-Seg,9.358183543921406,0.622490460303346,0.5715555555555556,0.18535161678865933,0.31273693672568104,0.2958954763959078,0.3316112277599735,0.0,0.27664613723754883,97.6,0.01953125,66.54386183420817
K-Means,22.9995747078588,0.6204587474535389,0.07300441235459286,0.39656882496977963,0.5679187704599679,0.9783597782450775,0.4000781738586617,0.0,0.48615002632141113,94.6,0.0,66.84616657892863
Otsu,12.455409578998644,0.5019606923334142,0.14713216957605985,0.5688427115914652,0.7251749425083153,0.9833507320859766,0.5743746091307067,0.0,0.0024023056030273438,415.0,0.0,66.65865898132324
Adaptive Thresholding,13.986508730272085,0.325408283870887,0.07816477308002731,0.7237354689512813,0.8397291602888477,0.9900004246104199,0.7290650406504066,0.0,0.0017468929290771484,0.0,0.0,99.99417702356975
Region Growing,11.587471827426313,0.4226435010297289,0.10598741033523643,0.6234292788610337,0.7680399595828646,0.9838812093977434,0.6298624140087554,0.0,0.1378014087677002,101.6,1.79296875,66.147563012441
Split and Merge,12.455409578998644,0.5019606923334142,0.14713216957605985,0.5688427115914652,0.7251749425083153,0.9833507320859766,0.5743746091307067,0.0,0.013483762741088867,148.2,0.0,66.62172079086304
MobileNet-Seg,8.384577693440981,0.2267829962900394,0.09655898876404495,0.279328125,0.43667940935793936,0.9977674833956578,0.2795028142589118,0.0,0.4642972946166992,99.1,0.41796875,65.40507672627767
K-Means,24.801758293356592,0.6682002413297807,0.21849822752175313,0.011577332468723806,0.02288966369080192,0.023872419528421878,0.02198462277751081,0.0,0.4952123165130615,98.9,0.0,65.38262561162313
Otsu,13.757812852103633,0.49246250547734105,0.17834871539037167,0.13596816724826705,0.23938728420116204,0.22281736790353465,0.258619654012494,0.0,0.002117156982421875,0.0,0.0,99.9929428100586
Adaptive Thresholding,12.209511083623166,0.2522068370127634,0.08090768170857733,0.3576404005224206,0.5268558601891935,0.47453547703860594,0.5921432003844306,0.0,0.00186920166015625,0.0,0.0,99.99376932779948
Region Growing,8.382987184086168,0.15202789100506728,0.10503259983700082,0.6132921589688507,0.7602989397293564,0.8527424112310047,0.6859382508409418,0.0,0.10018491744995117,99.8,0.0,66.39938360850016
Split and Merge,13.757812852103633,0.49246250547734105,0.17834871539037167,0.13596816724826705,0.23938728420116204,0.22281736790353465,0.258619654012494,0.0,0.009314775466918945,107.2,0.0,66.63561741511027
MobileNet-Seg,15.685848066965384,0.8224552864012095,0.5127086007702182,0.5167660084579269,0.6814050493962679,0.5369524600373676,0.9321840461316675,0.0,0.4448392391204834,94.4,0.0234375,67.04975461959839
K-Means,21.78915324033487,0.6795354314853461,0.3679909329515629,0.33649306116586775,0.503546289828596,0.6975696899772973,0.39396741986337364,0.0,0.45204615592956543,97.3,0.0,66.05984614690145
Otsu,17.877253641444764,0.7068925381917109,0.48133383612562625,0.6688002275798307,0.80153419987215,0.8127038997515393,0.7906673673147662,0.0,0.0019485950469970703,0.0,0.0,99.99350468317668
Adaptive Thresholding,10.313393511088115,0.4512563206134092,0.3357478616012946,0.4788621943394881,0.6476089471654455,0.7589616112539194,0.564750394114556,0.0,0.0024747848510742188,400.0,0.0,66.65841738382976
Region Growing,5.570603029625298,0.0023499979922025297,0.00023881547524279574,0.0,0.0,0.0,0.0,0.0,0.003195524215698242,0.0,0.0,99.98934825261433
Split and Merge,17.877253641444764,0.7068925381917109,0.48133383612562625,0.6688002275798307,0.80153419987215,0.8127038997515393,0.7906673673147662,0.0,0.029573917388916016,67.6,0.0,77.36808694203695
MobileNet-Seg,5.570484781989427,0.0023432786641236357,0.0,0.0,0.0,0.0,0.0,0.0,0.3041989803314209,101.9,0.0078125,65.65240964889527
K-Means,27.543424207965895,0.801636284110007,0.32029271038558965,0.9777585601167473,0.9887542188759685,0.9777585601167473,1.0,0.0,0.25109267234802246,99.6,0.0,65.96302442550659
Otsu,35.552343540825966,0.9649918601798942,0.7215411558669002,0.0,0.0,0.0,0.0,0.0,0.0016312599182128906,0.0,0.0,99.99456246693929
Adaptive Thresholding,16.85668679957135,0.6874149029526312,0.1449712508247714,0.6073281991615417,0.7556990532218035,0.6466805632030205,0.9089275843007186,0.0,0.0009777545928955078,0.0,0.0,99.99674081802368
Region Growing,11.669587071251438,0.4689410607095885,0.001601708489054992,0.0,0.0,0.0,0.0,0.0,0.002023935317993164,0.0,0.0,99.99325354894002
Split and Merge,35.552343540825966,0.9649918601798942,0.7215411558669002,0.0,0.0,0.0,0.0,0.0,0.018615007400512695,107.4,0.0,66.60461664199829
MobileNet-Seg,11.668342082301113,0.4689608854647005,0.0,0.0,0.0,0.0,0.0,0.0,0.2672879695892334,97.3,0.00390625,66.67557655970256
K-Means,22.224594554668347,0.6602581132692634,0.3248657187993681,0.41055841020243916,0.5821218139325646,0.9828819148541998,0.41351519875292286,0.0,0.31461095809936523,101.7,0.0,65.61796347300212
Otsu,17.358947060813463,0.6762115486491167,0.5207082833133253,0.6656794693814592,0.7992887966958679,0.9844876357331873,0.6727357755261106,0.0,0.0013473033905029297,0.0,0.0,99.99550898869832
Adaptive Thresholding,10.299307078489253,0.4402336727591125,0.34306103286384976,0.5281808508997826,0.6912543768478623,0.980000572229693,0.5339360872954014,0.0,0.0014352798461914062,692.9,0.0,66.6618824005127
Region Growing,5.709429665159647,0.005886099829478973,0.015386982612709647,0.010319563522992984,0.020428315743998025,1.0,0.010319563522992984,0.0,0.0035686492919921875,0.0,0.0,99.98810450236003
Split and Merge,17.358947060813463,0.6762115486491167,0.5207082833133253,0.6656794693814592,0.7992887966958679,0.9844876357331873,0.6727357755261106,0.0,0.022437572479248047,89.1,0.0,70.22520809173584
MobileNet-Seg,5.779413411652201,0.06318018383258817,0.101093316907915,0.06732611574110133,0.12615847162018184,0.9896954430959469,0.06737334372564302,0.0,0.2682983875274658,100.6,0.0,65.77233870824178
K-Means,25.497089155357248,0.7651360857153776,0.1989004947773502,0.4166847842966736,0.5882533488259926,0.9805225653206651,0.42016254051768687,0.0,0.34300851821899414,99.1,0.0,65.82330493927002
Otsu,11.903839244292309,0.3361541233546525,0.2405477820779994,0.49644202595228126,0.6634965034965035,0.9803453343130052,0.5014327993611124,0.0,0.0017697811126708984,0.0,0.0,99.99410072962444
Adaptive Thresholding,11.35837040287157,0.3086100232220304,0.19422723091076358,0.5526793049462899,0.7119040012778532,0.9820420304624452,0.5583219805515103,0.0,0.0017426013946533203,0.0,0.0,99.9941913286845
Region Growing,6.969200534674357,0.0013453185998821336,0.00640414225371304,0.0014876058940511423,0.002970792419788605,1.0,0.0014876058940511423,0.0,0.0021276473999023438,0.0,0.0,99.99290784200032
Split and Merge,11.903839244292309,0.3361541233546525,0.2405477820779994,0.49644202595228126,0.6634965034965035,0.9803453343130052,0.5014327993611124,0.0,0.012415885925292969,80.7,0.0,73.05861371358236
MobileNet-Seg,8.01819401795331,0.2465936609773883,0.25475188161755324,0.2540366318529767,0.4051502570185844,0.9605671764223355,0.25671380028499396,0.0,0.26225757598876953,99.1,0.0078125,66.09221433003744
K-Means,23.36311729176369,0.6705075021355721,0.31455069752942094,0.5686533157452932,0.7250210228575797,0.9300957163031539,0.5940420414401323,0.0,0.29647350311279297,101.2,0.0,65.6784216562907
Otsu,19.31789554829475,0.7347697015775824,0.48348492101483964,0.7405144180845116,0.8509144312627642,0.7848872896602815,0.9290707288352166,0.0,0.0014433860778808594,0.0,0.0,99.99518871307373
Adaptive Thresholding,11.48216467861462,0.4212338137324914,0.26011560693641617,0.4543497313569333,0.6248149555238233,0.6547775947281713,0.5974745070528399,0.0,0.0014717578887939453,0.0,0.0,99.99509414037068
Region Growing,6.696089171678467,0.0031868037192752086,0.012371359754762426,0.0,0.0,0.0,0.0,0.0,0.002542734146118164,391.3,0.0,66.65819088617961
Split and Merge,19.31789554829475,0.7347697015775824,0.48348492101483964,0.7405144180845116,0.8509144312627642,0.7848872896602815,0.9290707288352166,0.0,0.018904685974121094,105.7,0.0,66.60365104675293
MobileNet-Seg,6.672336016551906,0.0009713993323919465,0.0,0.0,0.0,0.0,0.0,0.0,0.2823457717895508,99.2,0.00390625,65.99205055236816
K-Means,20.76237056609258,0.6615236959126919,0.3197381671701913,0.6834173135412411,0.8119404594973574,0.9449832093650943,0.7117362013946342,0.0,0.27694153785705566,101.1,0.0,65.74352820714314
Otsu,17.60868234152005,0.6657753631939468,0.5031178416899974,0.49817667893846074,0.6650439643626623,0.655463728191001,0.6749084032620257,0.0,0.0014262199401855469,0.0,0.0,99.99524593353271
Adaptive Thresholding,11.689408245201644,0.45388443468984474,0.344973058769475,0.40066757752373705,0.5721094483133303,0.5988935708192229,0.54761848481267,0.0,0.0014030933380126953,0.0,0.0,99.99532302220662
Region Growing,6.303367100398728,0.0025715571541800038,0.001071016641950898,0.0010637040538943388,0.0021251475796930344,1.0,0.0010637040538943388,0.0,0.0021288394927978516,467.4,0.0,66.659570535024
Split and Merge,17.60868234152005,0.6657753631939468,0.5031178416899974,0.49817667893846074,0.6650439643626623,0.655463728191001,0.6749084032620257,0.0,0.03639960289001465,109.9,0.0,66.54533465703328
